Barcode,Cluster
aeanedjg-1,1
aeaogdpd-1,1
aeaopofb-1,1
aebaklel-1,4
aebandpp-1,2
aebbpmej-1,2
aebdafnp-1,3
aebdpdhe-1,2
aebghnae-1,4
aebgodcf-1,3
aebjlicc-1,1
aebkffea-1,1
aebkhlli-1,1
aeblopad-1,2
aebnmllj-1,4
aebpdhno-1,1
aeccjaah-1,4
aecdkkoe-1,1
aecdpnob-1,3
aecehmnm-1,3
aecfdbln-1,4
aechjodl-1,4
aechocgd-1,4
aecljiec-1,1
aecmfcjf-1,3
aedaneoc-1,1
aedcdonf-1,4
aedcmpof-1,2
aeddegmk-1,2
aedemboc-1,2
aedgpjhl-1,2
aedhbjba-1,3
aedigofl-1,1
aedjijdm-1,3
aedlmand-1,1
aedmikil-1,3
aedocedd-1,1
aedpmpjb-1,4
aeeagfao-1,4
aeebjjfg-1,3
aeecclbp-1,2
aeecdikd-1,3
aeechcoe-1,1
aeeebbji-1,4
aeefacfl-1,1
aeejmlla-1,1
aeeljkon-1,1
aeellfcn-1,3
aeepdghd-1,2
aeeponkd-1,4
aefbkjnp-1,1
aefbnjpe-1,4
aefddnaa-1,3
aefdgimh-1,2
aefekpge-1,2
aefffjei-1,1
aefhnhln-1,3
aefihbcf-1,2
aefiogof-1,1
aefkhgja-1,1
aefkliic-1,1
aefkpoci-1,1
aefmdjdm-1,2
aefncico-1,1
aefnelkp-1,3
aefobgoo-1,1
aefoedlo-1,1
aefpmkbg-1,1
aegbkopb-1,2
aegcfijo-1,1
aegcileh-1,1
aegeeiel-1,1
aeggflie-1,2
aeghjcja-1,1
aegkknil-1,1
aegkphgb-1,1
aeglpigj-1,2
aegmdecn-1,3
aegmlnhb-1,2
aegmmjni-1,1
aegpjofd-1,2
aehcaaph-1,3
aehcfkdd-1,4
aehdnckj-1,1
aehfeiii-1,1
aehfkjek-1,2
aehfpllo-1,1
aehiaejh-1,1
aehiljma-1,2
aehmdeap-1,2
aehmmojo-1,1
aehnjcjm-1,1
aehnoogc-1,2
aeialelm-1,1
aeibdkhi-1,2
aeibihcp-1,1
aeidefje-1,2
aeidglch-1,2
aeidoedc-1,1
aeieacff-1,1
aeieadll-1,1
aeifcoek-1,1
aeihmjpl-1,1
aeikajlk-1,1
aeippjgh-1,1
aejafgfl-1,1
aejdcokl-1,1
aejdlbab-1,2
aejdllkn-1,1
aejfdpll-1,1
aejfmhni-1,1
aejjandi-1,1
aejjoimf-1,2
aejmhegp-1,2
aejoandg-1,2
aejodhda-1,2
aejphoik-1,2
aekahink-1,1
aekbclok-1,4
aekcgofn-1,2
aekchbge-1,2
aekdkjij-1,1
aekfmhkd-1,1
aekgflhg-1,1
aekhigge-1,1
aekhikih-1,2
aekhobjg-1,1
aekjfnld-1,2
aeklhhjo-1,3
aeklikbe-1,2
aekmjpfa-1,3
aekneiao-1,1
aeknhofg-1,1
aeknnakl-1,1
aekogojo-1,2
aekohcij-1,1
aekpnmcl-1,1
aelabdme-1,2
aelacjpb-1,2
aelbonic-1,1
aelcehdi-1,1
aelcjhfl-1,1
aeldkfpc-1,1
aelgance-1,2
aelgijib-1,2
aelhchhh-1,1
aelijboa-1,2
aelillef-1,2
aelkhgin-1,2
aelkidgc-1,1
aelkildn-1,4
aelminja-1,2
aelpafdd-1,2
aelpbhai-1,4
aemaogen-1,2
aemclcag-1,1
aemcmfdn-1,2
aemdhjkp-1,2
aemebkcm-1,4
aemgkdlo-1,2
aemgpkal-1,1
aemhiien-1,4
aemikkcj-1,2
aemjpjcp-1,1
aemkgogd-1,3
aemlhhjn-1,1
aemljfba-1,1
aemmkoem-1,3
aemnkdli-1,2
aemnmlij-1,3
aemocbpm-1,1
aenbchjm-1,1
aenbgmcc-1,3
aencepnj-1,3
aencmoec-1,1
aendiplp-1,3
aenfnleh-1,3
aengbkfg-1,4
aengcadj-1,1
aengljpo-1,1
aenhlnbn-1,1
aenhmene-1,1
aeniippi-1,3
aenjchfj-1,2
aenjdmoc-1,3
aennfobm-1,4
aeoahhla-1,2
aeoebkli-1,4
aeoigepj-1,4
aeoigice-1,1
aeojfjoo-1,2
aeojhlpf-1,1
aeojmofc-1,4
aeokpkjh-1,4
aeollphj-1,1
aeomnnlo-1,2
aeompbha-1,1
aeopcanp-1,1
aepcalaj-1,1
aepdaklg-1,1
aepdkohh-1,1
aepdmnkh-1,1
aepgegfo-1,1
aepginlp-1,1
aephflmh-1,2
aephiagg-1,2
aephkmfa-1,1
aepiikha-1,3
