Barcode,Cluster
adphpmaf-1,1
adpjfhda-1,1
adpkfmfg-1,4
adpmbbhj-1,1
adpnjejk-1,4
adpobcci-1,2
adpogeig-1,1
adppnkdj-1,4
aeaaioph-1,2
aeabbede-1,2
aeablcoc-1,5
aeacabgl-1,4
aeacckoe-1,1
aeacdjgp-1,3
aeadapnp-1,4
aeafaidf-1,2
aeafpodp-1,2
aeahbeom-1,2
aeahhicg-1,6
aeaiangp-1,3
aeajgndc-1,1
aeajhpga-1,1
aeajkebb-1,3
aeakekmb-1,1
aeakhgpm-1,1
aealaclk-1,6
aealjpgl-1,3
aeanakec-1,5
aeanddad-1,1
aeanfjom-1,6
aeanncej-1,5
aeaocfdg-1,5
aeaomcie-1,5
aeapicig-1,2
aebakold-1,1
aebamfcg-1,1
aebbbjai-1,1
aebbocdl-1,3
aebbodmk-1,1
aebbpdgl-1,1
aebcgceo-1,1
aebcpbdg-1,2
aebehbma-1,2
aebemkdc-1,1
aebfghob-1,5
aebfmhnd-1,2
aebgdeej-1,1
aebgojgi-1,4
aebhlcmk-1,3
aebiehak-1,4
aebillah-1,1
aebipojc-1,3
aebkgflp-1,1
aeblkhpk-1,4
aebmgpkm-1,4
aebmoknl-1,1
aebneblg-1,5
aebnpfbh-1,3
aeboenic-1,5
aebofcle-1,1
aebojkkj-1,4
aebpabph-1,1
aecablgc-1,1
aecbfkeg-1,4
aecbgbhn-1,4
aecdioni-1,1
aecdmmci-1,2
aecelblo-1,1
aecgfbbj-1,3
aecgicpc-1,1
aecgnfni-1,1
aechepdf-1,1
aechicnf-1,3
aechijeo-1,1
aecihfeg-1,2
aecjlbod-1,2
aecknekk-1,4
aeckoejl-1,1
