NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
TMEM74B	1	TMEM74B	
SLC17A6	1	SLC17A6	
NRSN1	1	NRSN1	
ZEB2	1	ZEB2	
CREG2	1	CREG2	
EPHA5	1	EPHA5	
DENND5B	1	DENND5B	
CDKL2	1	CDKL2	
RALGPS2	1	RALGPS2	
SMAD7	1	SMAD7	
PAXIP1-DT	1	PAXIP1-AS1	
ZNF540	1	ZNF540	
LINC02389	1	LINC02389	
FANCL	1	FANCL	
MPP7	1	MPP7	
ERICD	1	ERICD	
FAM43B	1	FAM43B	
OSBPL3	1	OSBPL3	
SNCB	1	SNCB	
AVIL	1	AVIL	
SLC30A4	1	SLC30A4	
AK9	1	AK9	
MPP3	1	MPP3	
SLC22A15	1	SLC22A15	
LRRN2	1	LRRN2	
RAPH1	1	RAPH1	
LINC01410	1	LINC01410	
POLN	1	POLN	
FAM228A	1	FAM228A	
C1orf162	1	C1orf162	
DGAT2	1	DGAT2	
ZNF726	1	ZNF726	
IGFBP5	1	IGFBP5	
CLGN	1	CLGN	
ATRN	1	ATRN	
IPCEF1	1	IPCEF1	
RIMS2	1	RIMS2	
KATNAL1	1	KATNAL1	
ZNF845	1	ZNF845	
KLHL4	1	KLHL4	
SH3GL3	1	SH3GL3	
SERHL2	1	SERHL2	
ZNF630	1	ZNF630	
RAI14	1	RAI14	
ADAMTS3	1	ADAMTS3	
RRP15	1	RRP15	
ICA1	1	ICA1	
HHAT	1	HHAT	
MCU	1	MCU	
MYO18A	2	TIAF1:MYO18A	
BCAS3	1	BCAS3	
POU3F3	1	POU3F3	
MLLT3	1	MLLT3	
IGSF22	1	IGSF22	
PTGES	1	PTGES	
EDNRA	1	EDNRA	
CABYR	1	CABYR	
TENM1	1	TENM1	
FGF22	1	FGF22	
FASTKD5	1	FASTKD5	
CCDC188	1	CCDC188	
PAPPA2	1	PAPPA2	
ZNF365	1	ZNF365	
KIF21A	1	KIF21A	
LRRTM2	1	LRRTM2	
