Barcode,Cluster
acomjagb-1,1
acomliim-1,2
acomloji-1,1
acommnga-1,2
acomokle-1,1
aconaghc-1,2
aconkffb-1,2
aconkhgn-1,1
acooiaaj-1,2
acopmaab-1,2
acpdklki-1,1
acpfjlph-1,3
acpgkeef-1,3
acpgpbch-1,2
acpimbkj-1,1
acpjkehe-1,1
acpjmcma-1,2
acpjneae-1,2
acpknpog-1,2
acpkoink-1,2
acplapmd-1,2
acplecnj-1,2
acpljdod-1,2
acpljela-1,1
acplnjlp-1,1
acplocdd-1,2
acpnddcb-1,2
acpnecdd-1,1
acpnhfee-1,1
acpnmlmn-1,2
acpooeon-1,2
acppegbo-1,2
adaaleig-1,2
adabjejj-1,2
adabkhki-1,2
adadhbgk-1,2
adadmnbd-1,2
adadpdpe-1,2
adafcgne-1,2
adafkdkh-1,2
adagphdf-1,2
adaididj-1,2
adaijggc-1,1
adaiodac-1,2
adajicej-1,1
adalhjnb-1,1
adamakim-1,2
adanabjk-1,1
adaohahl-1,2
adaokchi-1,1
adapihjf-1,1
adapjkbp-1,1
adapobbe-1,1
adbaepaj-1,3
adbajabf-1,3
adbbljmi-1,3
adbcamcj-1,3
adbcgpif-1,3
adbchjkb-1,3
adbcpoem-1,2
adbephmo-1,1
adbfdpkp-1,2
adbgbhgb-1,1
adbgidak-1,1
adbgipmp-1,3
adbhllji-1,2
adbhmhkl-1,3
adbiemfl-1,3
adbiifoj-1,2
adbimlkd-1,1
adbjemki-1,2
adbjgnpc-1,1
adbjjggj-1,1
adbkhnaj-1,1
adbmeeie-1,2
adbpabbc-1,1
adcaacef-1,3
adcacbpd-1,2
adcaefki-1,1
adcanoel-1,2
adcbobee-1,2
adccjfcj-1,2
adcddkoo-1,2
adcdhhgf-1,1
adcdndkg-1,3
adcehing-1,2
adcfgnkc-1,2
adcibndc-1,2
adcicflk-1,2
adcjedno-1,2
adcjkipn-1,2
adcjljee-1,2
adckagbn-1,2
adckcpbg-1,2
adckhbcd-1,2
adckjkid-1,1
adcklfnf-1,2
adckoihp-1,2
adcnbbph-1,2
adcnnhfm-1,2
adcodohg-1,1
adcolong-1,2
adcooaef-1,2
adcpdkoj-1,2
adcpickc-1,2
addbepbm-1,2
addcjdmk-1,2
adddglpb-1,2
addepidc-1,2
addfcpnp-1,2
addgalhk-1,3
addgbmii-1,2
addhdddg-1,2
addhpdaa-1,1
addjadnh-1,2
addjmehn-1,2
addknecl-1,2
addkneee-1,2
addljkbk-1,2
addlmgkd-1,1
addmlmoh-1,1
addnceei-1,2
addnjnek-1,2
addoknlb-1,2
addomflb-1,2
adeacelj-1,2
adeafide-1,1
adebfmdm-1,1
adebhjlo-1,2
adechiha-1,1
adeecdbl-1,2
adegbhph-1,2
adegcpjj-1,1
adegjebb-1,3
adehpicb-1,1
adeiaijk-1,2
adejaaic-1,2
adejgdgp-1,3
adejobck-1,1
adekdjio-1,1
adekhpnd-1,2
adekmmeh-1,2
ademfkmg-1,1
adenekgi-1,1
adeofdbg-1,1
adeogoeo-1,1
adeoinpi-1,2
adepimji-1,2
adfacmhe-1,1
adfaikbk-1,1
adfcndgd-1,2
adfdalkl-1,2
adfdlkem-1,1
adfgmmjg-1,1
adfifjbc-1,3
adfipddk-1,2
adfljalc-1,2
adfmejch-1,1
adfmjhea-1,2
adfoeffp-1,2
adfomgpe-1,1
adfpkeak-1,1
adgaedje-1,2
adgboich-1,1
adgddakc-1,2
adgdlbdi-1,2
adgelloc-1,1
adgeohed-1,2
adgfignn-1,1
adggcalg-1,3
adggedkm-1,1
adghegao-1,1
adgiklld-1,1
adgmigjp-1,1
adgmloop-1,1
adgmnbhl-1,1
adgnbfde-1,2
adgpefbo-1,1
adhajank-1,2
adhchnnd-1,1
adhdehim-1,2
adhhkffe-1,3
adhileoh-1,1
adhimflg-1,2
adhjjdlh-1,2
adhjkkkl-1,2
adhjpclk-1,1
adhkhlek-1,2
adhldnin-1,1
adhofpce-1,1
adiacodb-1,1
adialidb-1,2
adicbkpg-1,1
adicmjkk-1,1
adidaoil-1,2
adidnknn-1,1
adidoggj-1,1
adiejlef-1,1
adifbjag-1,1
adifllal-1,2
adihaalk-1,3
adihdfic-1,3
adiheplh-1,3
adijddjn-1,2
adilbbce-1,1
adimdcgg-1,2
adinkghn-1,2
adinkman-1,1
adipckdk-1,3
adiphpbb-1,1
adjbakch-1,1
adjbclai-1,1
adjbjmgg-1,1
adjcbanh-1,3
adjclnpc-1,2
adjdbngk-1,1
adjdpimf-1,3
adjfcobo-1,3
adjffihh-1,3
adjgceig-1,3
